epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,0.4786961883306503,0.5188931226730347,0.858380389213562,0.7522958159446717,0.000996057350657239,0.9
2,0.36880704313516616,0.38532972931861875,0.9237354636192322,0.8584526896476745,0.0009842915805643156,0.8
3,0.3204031020402908,0.31382242441177366,0.9703689932823181,0.9425519943237305,0.0009648882429441258,0.8
4,0.2822524681687355,0.2827072262763977,0.9346045136451722,0.8774184942245483,0.0009381533400219318,0.8
5,0.24621809720993043,0.24983992874622346,0.9877767205238343,0.9758695840835572,0.0009045084971874737,0.8
6,0.20935794711112976,0.18163985013961792,0.9921835899353028,0.9844940662384033,0.0008644843137107057,0.8
7,0.18017748072743417,0.16172949969768524,0.9903943181037903,0.980991005897522,0.0008187119948743448,0.8
8,0.16127840504050256,0.14805920720100402,0.9923391342163086,0.9848058342933654,0.0007679133974894982,0.8
9,0.14488295018672942,0.13648272454738616,0.9946076512336731,0.9892756819725037,0.0007128896457825362,0.8
10,0.1314329795539379,0.12409138083457946,0.9925552845001221,0.9852342009544373,0.0006545084971874736,0.8
11,0.12056090645492076,0.11459938287734986,0.9943082809448243,0.9886866450309754,0.0005936906572928624,0.8
12,0.111318813636899,0.10702691227197647,0.9949786305427551,0.990011465549469,0.0005313952597646568,0.8
13,0.1035937249660492,0.10027507096529006,0.9951892852783203,0.9904284715652466,0.00046860474023534336,0.8
14,0.09731590040028096,0.09484155476093292,0.9951423287391663,0.9903359889984131,0.0004063093427071377,0.8
15,0.09268816709518432,0.09104909896850585,0.9957815885543824,0.9916014909744263,0.00034549150281252644,0.8
16,0.08819936737418174,0.0861324816942215,0.9938016295433044,0.9876886487007142,0.00028711035421746366,0.8
17,0.08487269952893257,0.0835070937871933,0.9954739809036255,0.9909929037094116,0.00023208660251050156,0.8
18,0.08194663003087044,0.08114258646965027,0.9952232718467713,0.9904963612556458,0.00018128800512565513,0.8
19,0.08008597493171692,0.0790113389492035,0.9957162857055664,0.9914723992347717,0.00013551568628929433,0.8
20,0.07860582657158374,0.07760023474693298,0.9953106284141541,0.9906692385673523,9.549150281252634e-05,0.8
21,0.07757133431732655,0.0774783343076706,0.9956831932067871,0.9914066910743713,6.184665997806823e-05,0.8
22,0.07679562643170357,0.07736385613679886,0.9955264687538147,0.9910968542098999,3.511175705587433e-05,0.8
23,0.07635835185647011,0.0763812854886055,0.9956786870956421,0.9913982510566711,1.570841943568452e-05,0.8
24,0.0758372537791729,0.07600670158863068,0.9957460403442383,0.9915313482284546,3.942649342761118e-06,0.8
25,0.0756854597479105,0.07638043910264969,0.9956969022750854,0.9914340853691102,0.0,0.8
