epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,0.7383067101240158,0.7699052691459656,0.7114585638046265,0.5533923149108887,0.000996057350657239,0.9
2,0.679853418469429,0.7139481544494629,0.8533517360687256,0.7449952602386475,0.0009842915805643156,0.8
3,0.6511035054922104,0.6771559000015259,0.9272130966186524,0.8646507978439331,0.0009648882429441258,0.9
4,0.6132112205028534,0.5674411654472351,0.955403470993042,0.9148726344108582,0.0009381533400219318,0.9
5,0.5764900237321854,0.556035852432251,0.9787037134170532,0.9583664178848267,0.0009045084971874737,0.8
6,0.5392636299133301,0.5442912340164184,0.980856466293335,0.962483286857605,0.0008644843137107057,0.8
7,0.49948081374168396,0.499418044090271,0.9800529479980469,0.9609393119812012,0.0008187119948743448,0.8
8,0.4605307936668396,0.4618239402770996,0.9896273374557495,0.9794945120811462,0.0007679133974894982,0.8
9,0.4203753709793091,0.4239919900894165,0.9933715105056763,0.9868421792984009,0.0007128896457825362,0.8
10,0.3828292518854141,0.39146058559417723,0.9857448935508728,0.9719259858131408,0.0006545084971874736,0.9
11,0.34891695976257325,0.3577359080314636,0.994448983669281,0.9889672756195068,0.0005936906572928624,0.9
12,0.3183523088693619,0.3276378154754639,0.9942957520484924,0.9886655926704406,0.0005313952597646568,0.9
13,0.2916200071573257,0.3119507789611816,0.9948608040809631,0.9897803068161011,0.00046860474023534336,0.9
14,0.269319948554039,0.2800731182098389,0.9938659191131591,0.9878159284591674,0.0004063093427071377,0.9
15,0.2525447875261307,0.26833531856536863,0.994846773147583,0.9897523403167725,0.00034549150281252644,0.9
16,0.23655269145965577,0.24645856618881226,0.9944211363792419,0.9889134883880615,0.00028711035421746366,0.9
17,0.2241704672574997,0.23320745229721068,0.9953995943069458,0.99084632396698,0.00023208660251050156,0.9
18,0.21384181678295136,0.2289162516593933,0.9956650376319885,0.9913709163665771,0.00018128800512565513,0.9
19,0.20776704251766204,0.21657924652099608,0.9957865357398987,0.9916128039360046,0.00013551568628929433,0.9
20,0.20230194926261902,0.2156798005104065,0.9956600546836853,0.9913621425628663,9.549150281252634e-05,0.9
21,0.19890243411064149,0.2114530920982361,0.995777940750122,0.9915952682495117,6.184665997806823e-05,0.9
22,0.19631608724594116,0.21550759077072143,0.9956581354141235,0.9913581252098084,3.511175705587433e-05,0.9
23,0.1946861118078232,0.20768520832061768,0.9958472728729248,0.991732919216156,1.570841943568452e-05,0.9
24,0.19226642549037934,0.20746345520019532,0.9959696173667908,0.9919750690460205,3.942649342761118e-06,0.9
25,0.19154320061206817,0.20940109491348266,0.9958626985549927,0.9917635202407837,0.0,0.9
