epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,0.6134284019470215,0.6478009819984436,0.8193554162979126,0.6946735143661499,0.000996057350657239,0.9
2,0.5298803135752678,0.5443994879722596,0.8939789175987244,0.8086035370826721,0.0009842915805643156,0.9
3,0.48341399133205415,0.4820438027381897,0.9813379406929016,0.963379967212677,0.0009648882429441258,0.9
4,0.4352973595261574,0.40790423154830935,0.9551763892173767,0.9143551588058472,0.0009381533400219318,0.9
5,0.4021980568766594,0.38766767978668215,0.9897771954536438,0.9797810912132263,0.0009045084971874737,0.9
6,0.3724993452429771,0.3658729434013367,0.9840224862098694,0.9685905694961547,0.0008644843137107057,0.9
7,0.34459989368915556,0.333978933095932,0.9877543210983276,0.9758349299430847,0.0008187119948743448,0.9
8,0.31994857341051103,0.31676568984985354,0.9847561836242675,0.9700110673904419,0.0007679133974894982,0.9
9,0.2961550146341324,0.29711713790893557,0.9929696321487427,0.9860489010810852,0.0007128896457825362,0.9
10,0.2748089790344238,0.278081887960434,0.9892333388328552,0.9787179470062256,0.0006545084971874736,0.9
11,0.2561677396297455,0.25957410633563993,0.993714702129364,0.9875173807144165,0.0005936906572928624,0.9
12,0.23930566757917404,0.24298197031021118,0.9952498197555542,0.9905487179756165,0.0005313952597646568,0.8
13,0.22446112483739852,0.23261559009552002,0.9938364505767823,0.9877568364143372,0.00046860474023534336,0.9
14,0.2120334029197693,0.21633853912353515,0.9949102282524109,0.9898754239082337,0.0004063093427071377,0.9
15,0.2021604496985674,0.21397705674171447,0.9941080570220947,0.9882928371429444,0.00034549150281252644,0.8
16,0.19293903633952142,0.19564680457115174,0.9922428250312805,0.984618318080902,0.00028711035421746366,0.9
17,0.1855344470590353,0.19439262747764588,0.9944647550582886,0.9889966607093811,0.00023208660251050156,0.9
18,0.17924825400114058,0.18704063296318055,0.9943650245666504,0.9887998580932618,0.00018128800512565513,0.9
19,0.1752132035791874,0.1836820125579834,0.9954424142837525,0.9909298896789551,0.00013551568628929433,0.8
20,0.17176509834825993,0.18196466267108918,0.9951940178871155,0.9904387354850769,9.549150281252634e-05,0.8
21,0.16947982795536518,0.1802946925163269,0.9953958630561829,0.9908376097679138,6.184665997806823e-05,0.9
22,0.1678078655153513,0.1808820605278015,0.9952778816223145,0.9906042218208313,3.511175705587433e-05,0.9
23,0.16680156588554382,0.17688555419445037,0.9951419353485107,0.9903352618217468,1.570841943568452e-05,0.9
24,0.16552813574671746,0.1763327658176422,0.9956302762031555,0.9913020730018616,3.942649342761118e-06,0.9
25,0.16517626456916332,0.1772152900695801,0.9955039143562316,0.991051709651947,0.0,0.8
